ES1645A	28079027	ES	Spain	ES1645A-BARAJAS - PUEBLO	2002-12-31		Background	urban	urban	unknown	Unknown	-3.575000	40.474722	631	MADRID		28079	Madrid	no
ES1646A	28079026	ES	Spain	ES1646A-BARAJAS I	2002-12-31	2010-01-11	Traffic	urban	urban	unknown	Unknown	-3.578889	40.459999	620	MADRID		28079	Madrid	no
ES1807A	28123002	ES	Spain	ES1807A-RIVAS-VACIAMADRID	2006-08-02		Background	suburban	suburban	unknown	Unknown	-3.542222	40.360000	608	RIVAS-VACIAMADRID		28123	Rivas-Vaciamadrid	no
ES1893A	28079044	ES	Spain	ES1893A-CENTRO CULTURAL ALFREDO KRAUSS	2009-01-30		Background	urban	urban	unknown	Unknown	-3.721111	40.490833	669	MADRID		28079	Madrid	no
ES1894A	28079045	ES	Spain	ES1894A-JUNTA MUNICIPAL DE MORATALAZ	2008-12-30		Background	urban	urban	unknown	Unknown	-3.636944	40.398611	687	MADRID		28079	Madrid	no
ES1937A	28079047	ES	Spain	ES1937A-MENDEZ ALVARO	2009-12-21		Background	urban	urban	unknown	Unknown	-3.686667	40.398056	609	MADRID		28079	Madrid	no
ES1938A	28079048	ES	Spain	ES1938A-CASTELLANA	2010-02-01		Traffic	urban	urban	unknown	Unknown	-3.690278	40.439722	676	MADRID		28079	Madrid	no
ES1939A	28079049	ES	Spain	ES1939A-RETIRO	2010-01-01		Background	urban	urban	unknown	Unknown	-3.685556	40.409722	672	MADRID		28079	Madrid	no
ES1940A	28079050	ES	Spain	ES1940A-PLAZA CASTILLA-CANAL	2010-02-01		Traffic	urban	urban	unknown	Unknown	-3.688333	40.465833	729	MADRID		28079	Madrid	no
ES1941A	28079054	ES	Spain	ES1941A-ENSANCHE DE VALLECAS	2009-12-11		Background	urban	urban	unknown	Unknown	-3.611944	40.372778	630	MADRID		28079	Madrid	no
ES1942A	28079055	ES	Spain	ES1942A-URBANIZACION EMBAJADA	2010-01-20		Background	urban	urban	unknown	Unknown	-3.580556	40.462500	619	MADRID		28079	Madrid	no
ES1943A	28079056	ES	Spain	ES1943A-FERNANDEZ LADREDA-OPORTO	2010-01-18		Traffic	urban	urban	unknown	Unknown	-3.718611	40.384722	605	MADRID		28079	Madrid	no
ES1944A	28079057	ES	Spain	ES1944A-SANCHINARRO	2009-11-23		Background	urban	urban	unknown	Unknown	-3.660278	40.494167	615	MADRID		28079	Madrid	no
ES1945A	28079058	ES	Spain	ES1945A-EL PARDO	2009-12-01		Background	suburban	suburban	unknown	Unknown	-3.774444	40.518056	700	MADRID		28079	Madrid	no
ES1946A	28079059	ES	Spain	ES1946A-JUAN CARLOS I	2009-12-14		Background	suburban	suburban	unknown	Unknown	-3.608889	40.465000	669	MADRID		28079	Madrid	no
ES1947A	28079060	ES	Spain	ES1947A-TRES OLIVOS	2010-01-14		Background	urban	urban	unknown	Unknown	-3.689722	40.500556	715	MADRID		28079	Madrid	no
ES1998A	28079061	ES	Spain	ES1998A-CENTRO INTEGRADO ARGANZUELA	2010-01-01		Background	urban	urban	unknown	Unknown	-3.695000	40.402500	600	MADRID		28079	Madrid	no
