longitud;latitud;parametro;abrebiatura;descripcion;anio-mes-dia;valor;categoria
-3.717420;40.439359;08;NO2;DIOXIDO_DE_NITROGENO;2005-10-01;12.81;24
-3.715884;40.404648;08;NO2;DIOXIDO_DE_NITROGENO;2005-05-01;13.42;24
-3.604444;40.450279;08;NO2;DIOXIDO_DE_NITROGENO;2005-05-01;21.70;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2005-05-01;6.100;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2005-07-01;18.43;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2005-08-01;14.37;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2005-10-01;9.600;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2005-12-01;13.88;24
-3.602500;40.379444;08;NO2;DIOXIDO_DE_NITROGENO;2005-05-01;16.90;24
-3.578889;40.459999;08;NO2;DIOXIDO_DE_NITROGENO;2005-10-01;21.54;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2005-05-01;23.87;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2005-07-01;23.20;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2005-08-01;10.23;24
-3.575000;40.474722;08;NO2;DIOXIDO_DE_NITROGENO;2005-10-01;4.230;24
-3.668611;40.428612;08;NO2;DIOXIDO_DE_NITROGENO;2006-06-01;22.72;24
-3.668611;40.428612;08;NO2;DIOXIDO_DE_NITROGENO;2006-08-01;24.26;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2006-05-01;23.46;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2006-06-01;21.87;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2006-07-01;17.78;24
-3.651389;40.388056;08;NO2;DIOXIDO_DE_NITROGENO;2006-08-01;19.28;24
-3.741834;40.406567;08;NO2;DIOXIDO_DE_NITROGENO;2006-04-01;19.58;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-01-01;15.72;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-03-01;21.22;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-04-01;8.370;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-05-01;22.64;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-06-01;20.07;24
-3.749167;40.420000;08;NO2;DIOXIDO_DE_NITROGENO;2006-07-01;11.56;24
